Listing for omni_5min data from 20240507 to 20240515
Selected parameters:
 1 SYM/H, nT

YYYY DOY HR MN    1 
2024 128 23  0    -3
2024 128 23  5    -3
2024 128 23 10    -3
2024 128 23 15    -4
2024 128 23 20    -5
2024 128 23 25    -5
2024 128 23 30    -4
2024 128 23 35    -2
2024 128 23 40    -4
2024 128 23 45    -4
2024 128 23 50    -5
2024 128 23 55    -5
2024 129  0  0    -4
2024 129  0  5    -3
2024 129  0 10    -3
2024 129  0 15    -3
2024 129  0 20    -4
2024 129  0 25    -5
2024 129  0 30    -5
2024 129  0 35    -5
2024 129  0 40    -6
2024 129  0 45    -6
2024 129  0 50    -6
2024 129  0 55    -6
2024 129  1  0    -7
2024 129  1  5    -5
2024 129  1 10    -7
2024 129  1 15    -7
2024 129  1 20    -6
2024 129  1 25    -4
2024 129  1 30    -5
2024 129  1 35    -5
2024 129  1 40    -5
2024 129  1 45    -5
2024 129  1 50    -4
2024 129  1 55    -5
2024 129  2  0    -5
2024 129  2  5    -5
2024 129  2 10    -5
2024 129  2 15    -6
2024 129  2 20    -6
2024 129  2 25    -6
2024 129  2 30    -6
2024 129  2 35    -5
2024 129  2 40    -6
2024 129  2 45    -6
2024 129  2 50    -6
2024 129  2 55    -6
2024 129  3  0    -7
2024 129  3  5    -7
2024 129  3 10    -7
2024 129  3 15    -7
2024 129  3 20    -7
2024 129  3 25    -8
2024 129  3 30    -7
2024 129  3 35    -7
2024 129  3 40    -7
2024 129  3 45    -7
2024 129  3 50    -7
2024 129  3 55    -7
2024 129  4  0    -6
2024 129  4  5    -4
2024 129  4 10    -4
2024 129  4 15    -4
2024 129  4 20    -5
2024 129  4 25    -5
2024 129  4 30    -6
2024 129  4 35    -6
2024 129  4 40    -6
2024 129  4 45    -6
2024 129  4 50    -5
2024 129  4 55    -5
2024 129  5  0    -5
2024 129  5  5    -4
2024 129  5 10    -3
2024 129  5 15    -1
2024 129  5 20    -1
2024 129  5 25    -2
2024 129  5 30    -3
2024 129  5 35    -3
2024 129  5 40    -3
2024 129  5 45    -1
2024 129  5 50    -2
2024 129  5 55    -2
2024 129  6  0    -2
2024 129  6  5    -1
2024 129  6 10    -2
2024 129  6 15    -4
2024 129  6 20    -5
2024 129  6 25    -5
2024 129  6 30    -2
2024 129  6 35    -4
2024 129  6 40    -5
2024 129  6 45    -4
2024 129  6 50    -2
2024 129  6 55    -1
2024 129  7  0    -2
2024 129  7  5    -3
2024 129  7 10    -3
2024 129  7 15    -2
2024 129  7 20    -2
2024 129  7 25    -3
2024 129  7 30    -3
2024 129  7 35    -3
2024 129  7 40    -3
2024 129  7 45     1
2024 129  7 50     0
2024 129  7 55     1
2024 129  8  0     1
2024 129  8  5     0
2024 129  8 10    -1
2024 129  8 15    -3
2024 129  8 20    -3
2024 129  8 25    -3
2024 129  8 30    -3
2024 129  8 35    -3
2024 129  8 40    -4
2024 129  8 45    -4
2024 129  8 50    -4
2024 129  8 55    -4
2024 129  9  0    -3
2024 129  9  5    -4
2024 129  9 10    -4
2024 129  9 15    -4
2024 129  9 20    -4
2024 129  9 25    -4
2024 129  9 30    -2
2024 129  9 35    -4
2024 129  9 40    -3
2024 129  9 45    -4
2024 129  9 50    -3
2024 129  9 55    -3
2024 129 10  0    -4
2024 129 10  5    -5
2024 129 10 10    -5
2024 129 10 15    -6
2024 129 10 20    -5
2024 129 10 25    -5
2024 129 10 30    -4
2024 129 10 35    -3
2024 129 10 40    -3
2024 129 10 45    -2
2024 129 10 50    -2
2024 129 10 55    -2
2024 129 11  0    -2
2024 129 11  5    -2
2024 129 11 10    -1
2024 129 11 15     0
2024 129 11 20     0
2024 129 11 25    -1
2024 129 11 30    -1
2024 129 11 35    -1
2024 129 11 40    -1
2024 129 11 45    -1
2024 129 11 50    -1
2024 129 11 55    -1
2024 129 12  0     1
2024 129 12  5     1
2024 129 12 10    -1
2024 129 12 15    -2
2024 129 12 20    -1
2024 129 12 25    -2
2024 129 12 30    -2
2024 129 12 35    -2
2024 129 12 40    -3
2024 129 12 45    -2
2024 129 12 50    -2
2024 129 12 55    -2
2024 129 13  0    -2
2024 129 13  5    -2
2024 129 13 10    -2
2024 129 13 15    -2
2024 129 13 20    -2
2024 129 13 25    -1
2024 129 13 30    -1
2024 129 13 35    -1
2024 129 13 40    -1
2024 129 13 45    -1
2024 129 13 50    -1
2024 129 13 55    -1
2024 129 14  0    -1
2024 129 14  5    -2
2024 129 14 10    -2
2024 129 14 15    -3
2024 129 14 20    -3
2024 129 14 25    -4
2024 129 14 30    -5
2024 129 14 35    -4
2024 129 14 40    -5
2024 129 14 45    -6
2024 129 14 50    -6
2024 129 14 55    -7
2024 129 15  0    -8
2024 129 15  5    -8
2024 129 15 10    -7
2024 129 15 15    -6
2024 129 15 20    -6
2024 129 15 25    -7
2024 129 15 30    -8
2024 129 15 35    -8
2024 129 15 40    -8
2024 129 15 45    -8
2024 129 15 50    -8
2024 129 15 55    -8
2024 129 16  0    -8
2024 129 16  5    -8
2024 129 16 10    -8
2024 129 16 15    -8
2024 129 16 20    -8
2024 129 16 25    -8
2024 129 16 30    -8
2024 129 16 35    -8
2024 129 16 40    -9
2024 129 16 45    -9
2024 129 16 50    -9
2024 129 16 55    -9
2024 129 17  0   -10
2024 129 17  5   -10
2024 129 17 10   -10
2024 129 17 15   -10
2024 129 17 20   -11
2024 129 17 25   -11
2024 129 17 30   -11
2024 129 17 35   -11
2024 129 17 40   -12
2024 129 17 45   -12
2024 129 17 50   -13
2024 129 17 55   -13
2024 129 18  0   -12
2024 129 18  5   -12
2024 129 18 10   -10
2024 129 18 15   -10
2024 129 18 20   -10
2024 129 18 25   -10
2024 129 18 30    -9
2024 129 18 35    -9
2024 129 18 40    -9
2024 129 18 45    -9
2024 129 18 50    -8
2024 129 18 55    -8
2024 129 19  0    -7
2024 129 19  5    -7
2024 129 19 10    -6
2024 129 19 15    -6
2024 129 19 20    -6
2024 129 19 25    -6
2024 129 19 30    -5
2024 129 19 35    -4
2024 129 19 40    -4
2024 129 19 45    -4
2024 129 19 50    -4
2024 129 19 55    -5
2024 129 20  0    -4
2024 129 20  5    -4
2024 129 20 10    -3
2024 129 20 15    -4
2024 129 20 20    -3
2024 129 20 25    -2
2024 129 20 30    -2
2024 129 20 35    -2
2024 129 20 40    -2
2024 129 20 45    -1
2024 129 20 50    -1
2024 129 20 55     0
2024 129 21  0     0
2024 129 21  5     0
2024 129 21 10     2
2024 129 21 15     3
2024 129 21 20     3
2024 129 21 25     3
2024 129 21 30     3
2024 129 21 35     3
2024 129 21 40     4
2024 129 21 45     4
2024 129 21 50     6
2024 129 21 55     5
2024 129 22  0     5
2024 129 22  5     5
2024 129 22 10     4
2024 129 22 15     5
2024 129 22 20     5
2024 129 22 25     5
2024 129 22 30     6
2024 129 22 35     6
2024 129 22 40     5
2024 129 22 45     4
2024 129 22 50     4
2024 129 22 55     5
2024 129 23  0     5
2024 129 23  5     4
2024 129 23 10     4
2024 129 23 15     4
2024 129 23 20     4
2024 129 23 25     4
2024 129 23 30     4
2024 129 23 35     3
2024 129 23 40     5
2024 129 23 45     6
2024 129 23 50     5
2024 129 23 55     5
2024 130  0  0     5
2024 130  0  5     5
2024 130  0 10     5
2024 130  0 15     4
2024 130  0 20     4
2024 130  0 25     4
2024 130  0 30     4
2024 130  0 35     4
2024 130  0 40     4
2024 130  0 45     4
2024 130  0 50     4
2024 130  0 55     4
2024 130  1  0     4
2024 130  1  5     3
2024 130  1 10     3
2024 130  1 15     3
2024 130  1 20     3
2024 130  1 25     3
2024 130  1 30     3
2024 130  1 35     3
2024 130  1 40     4
2024 130  1 45     3
2024 130  1 50     3
2024 130  1 55     3
2024 130  2  0     3
2024 130  2  5     3
2024 130  2 10     4
2024 130  2 15     4
2024 130  2 20     4
2024 130  2 25     4
2024 130  2 30     3
2024 130  2 35     4
2024 130  2 40     4
2024 130  2 45     4
2024 130  2 50     4
2024 130  2 55     3
2024 130  3  0     3
2024 130  3  5     2
2024 130  3 10     2
2024 130  3 15     2
2024 130  3 20     2
2024 130  3 25     2
2024 130  3 30     1
2024 130  3 35     1
2024 130  3 40     0
2024 130  3 45     1
2024 130  3 50     3
2024 130  3 55     4
2024 130  4  0     4
2024 130  4  5     4
2024 130  4 10     3
2024 130  4 15     2
2024 130  4 20     2
2024 130  4 25     3
2024 130  4 30     2
2024 130  4 35     4
2024 130  4 40     4
2024 130  4 45     3
2024 130  4 50     2
2024 130  4 55     0
2024 130  5  0    -1
2024 130  5  5    -1
2024 130  5 10     0
2024 130  5 15     0
2024 130  5 20    -1
2024 130  5 25    -1
2024 130  5 30    -2
2024 130  5 35    -2
2024 130  5 40    -2
2024 130  5 45    -2
2024 130  5 50    -2
2024 130  5 55    -1
2024 130  6  0    -1
2024 130  6  5    -1
2024 130  6 10     0
2024 130  6 15     1
2024 130  6 20     1
2024 130  6 25     1
2024 130  6 30     1
2024 130  6 35     0
2024 130  6 40     0
2024 130  6 45     1
2024 130  6 50     1
2024 130  6 55     0
2024 130  7  0     0
2024 130  7  5     0
2024 130  7 10     0
2024 130  7 15    -1
2024 130  7 20    -1
2024 130  7 25    -1
2024 130  7 30    -1
2024 130  7 35    -1
2024 130  7 40    -1
2024 130  7 45    -1
2024 130  7 50    -1
2024 130  7 55    -1
2024 130  8  0     0
2024 130  8  5     0
2024 130  8 10     0
2024 130  8 15     0
2024 130  8 20     0
2024 130  8 25     0
2024 130  8 30     1
2024 130  8 35     0
2024 130  8 40     1
2024 130  8 45     2
2024 130  8 50     3
2024 130  8 55     3
2024 130  9  0     3
2024 130  9  5     4
2024 130  9 10     6
2024 130  9 15     6
2024 130  9 20     6
2024 130  9 25     5
2024 130  9 30     5
2024 130  9 35     6
2024 130  9 40     5
2024 130  9 45     4
2024 130  9 50     3
2024 130  9 55     2
2024 130 10  0     1
2024 130 10  5     1
2024 130 10 10     2
2024 130 10 15     2
2024 130 10 20     4
2024 130 10 25     3
2024 130 10 30     4
2024 130 10 35     4
2024 130 10 40     4
2024 130 10 45     5
2024 130 10 50     6
2024 130 10 55     5
2024 130 11  0     5
2024 130 11  5     5
2024 130 11 10     4
2024 130 11 15     4
2024 130 11 20     4
2024 130 11 25     4
2024 130 11 30     5
2024 130 11 35     5
2024 130 11 40     5
2024 130 11 45     5
2024 130 11 50     5
2024 130 11 55     5
2024 130 12  0     4
2024 130 12  5     4
2024 130 12 10     4
2024 130 12 15     4
2024 130 12 20     3
2024 130 12 25     3
2024 130 12 30     3
2024 130 12 35     3
2024 130 12 40     4
2024 130 12 45     4
2024 130 12 50     4
2024 130 12 55     4
2024 130 13  0     5
2024 130 13  5     5
2024 130 13 10     6
2024 130 13 15     6
2024 130 13 20     6
2024 130 13 25     7
2024 130 13 30     7
2024 130 13 35     7
2024 130 13 40     7
2024 130 13 45     7
2024 130 13 50     6
2024 130 13 55     6
2024 130 14  0     7
2024 130 14  5     6
2024 130 14 10     6
2024 130 14 15     6
2024 130 14 20     6
2024 130 14 25     6
2024 130 14 30     6
2024 130 14 35     7
2024 130 14 40     7
2024 130 14 45     7
2024 130 14 50     6
2024 130 14 55     5
2024 130 15  0     5
2024 130 15  5     4
2024 130 15 10     4
2024 130 15 15     3
2024 130 15 20     3
2024 130 15 25     3
2024 130 15 30     2
2024 130 15 35     2
2024 130 15 40     2
2024 130 15 45     3
2024 130 15 50     4
2024 130 15 55     5
2024 130 16  0     4
2024 130 16  5     4
2024 130 16 10     3
2024 130 16 15     3
2024 130 16 20     3
2024 130 16 25     3
2024 130 16 30     3
2024 130 16 35     3
2024 130 16 40     3
2024 130 16 45     3
2024 130 16 50     3
2024 130 16 55     3
2024 130 17  0     3
2024 130 17  5     4
2024 130 17 10     4
2024 130 17 15     3
2024 130 17 20     3
2024 130 17 25     3
2024 130 17 30     3
2024 130 17 35     3
2024 130 17 40     3
2024 130 17 45     3
2024 130 17 50     4
2024 130 17 55     4
2024 130 18  0     4
2024 130 18  5     4
2024 130 18 10     5
2024 130 18 15     4
2024 130 18 20     7
2024 130 18 25    12
2024 130 18 30    13
2024 130 18 35    13
2024 130 18 40    14
2024 130 18 45    13
2024 130 18 50    12
2024 130 18 55    12
2024 130 19  0    13
2024 130 19  5    12
2024 130 19 10    11
2024 130 19 15     9
2024 130 19 20    10
2024 130 19 25    13
2024 130 19 30    13
2024 130 19 35    12
2024 130 19 40     9
2024 130 19 45     9
2024 130 19 50     8
2024 130 19 55     8
2024 130 20  0     7
2024 130 20  5     9
2024 130 20 10    10
2024 130 20 15    11
2024 130 20 20    11
2024 130 20 25    11
2024 130 20 30    10
2024 130 20 35    11
2024 130 20 40    12
2024 130 20 45    11
2024 130 20 50    12
2024 130 20 55    13
2024 130 21  0    13
2024 130 21  5     8
2024 130 21 10     8
2024 130 21 15    10
2024 130 21 20    12
2024 130 21 25    13
2024 130 21 30    13
2024 130 21 35    13
2024 130 21 40    12
2024 130 21 45    12
2024 130 21 50    11
2024 130 21 55    11
2024 130 22  0    11
2024 130 22  5    12
2024 130 22 10    12
2024 130 22 15    13
2024 130 22 20    12
2024 130 22 25    12
2024 130 22 30    12
2024 130 22 35    11
2024 130 22 40     9
2024 130 22 45     8
2024 130 22 50    11
2024 130 22 55    11
2024 130 23  0    10
2024 130 23  5     9
2024 130 23 10     9
2024 130 23 15     8
2024 130 23 20     8
2024 130 23 25     8
2024 130 23 30     9
2024 130 23 35     8
2024 130 23 40     8
2024 130 23 45     7
2024 130 23 50     8
2024 130 23 55     7
2024 131  0  0     6
2024 131  0  5     5
2024 131  0 10     4
2024 131  0 15     3
2024 131  0 20     2
2024 131  0 25     1
2024 131  0 30     0
2024 131  0 35    -1
2024 131  0 40     2
2024 131  0 45     1
2024 131  0 50     0
2024 131  0 55    -1
2024 131  1  0    -2
2024 131  1  5    -2
2024 131  1 10    -3
2024 131  1 15    -2
2024 131  1 20    -3
2024 131  1 25    -3
2024 131  1 30    -3
2024 131  1 35    -3
2024 131  1 40    -3
2024 131  1 45    -3
2024 131  1 50    -3
2024 131  1 55    -3
2024 131  2  0    -5
2024 131  2  5    -5
2024 131  2 10    -6
2024 131  2 15    -5
2024 131  2 20    -5
2024 131  2 25    -5
2024 131  2 30    -4
2024 131  2 35    -1
2024 131  2 40     0
2024 131  2 45     1
2024 131  2 50    -1
2024 131  2 55    -1
2024 131  3  0     0
2024 131  3  5     0
2024 131  3 10     8
2024 131  3 15    16
2024 131  3 20    14
2024 131  3 25    14
2024 131  3 30    19
2024 131  3 35    14
2024 131  3 40    12
2024 131  3 45    10
2024 131  3 50    10
2024 131  3 55    10
2024 131  4  0    10
2024 131  4  5     9
2024 131  4 10     9
2024 131  4 15     8
2024 131  4 20     7
2024 131  4 25     6
2024 131  4 30     5
2024 131  4 35     3
2024 131  4 40     2
2024 131  4 45     2
2024 131  4 50     0
2024 131  4 55     0
2024 131  5  0     0
2024 131  5  5    -2
2024 131  5 10    -2
2024 131  5 15    -3
2024 131  5 20    -5
2024 131  5 25    -7
2024 131  5 30    -8
2024 131  5 35    -9
2024 131  5 40    -9
2024 131  5 45    -7
2024 131  5 50    -7
2024 131  5 55    -7
2024 131  6  0    -6
2024 131  6  5    -5
2024 131  6 10    -4
2024 131  6 15    -4
2024 131  6 20    -4
2024 131  6 25    -5
2024 131  6 30    -4
2024 131  6 35    -2
2024 131  6 40     1
2024 131  6 45     4
2024 131  6 50     7
2024 131  6 55     8
2024 131  7  0     9
2024 131  7  5     9
2024 131  7 10     8
2024 131  7 15     5
2024 131  7 20     8
2024 131  7 25    10
2024 131  7 30     8
2024 131  7 35     7
2024 131  7 40     6
2024 131  7 45     6
2024 131  7 50     4
2024 131  7 55     3
2024 131  8  0     2
2024 131  8  5     2
2024 131  8 10     1
2024 131  8 15     2
2024 131  8 20     3
2024 131  8 25     2
2024 131  8 30     2
2024 131  8 35     3
2024 131  8 40     3
2024 131  8 45     3
2024 131  8 50     3
2024 131  8 55     2
2024 131  9  0     2
2024 131  9  5     3
2024 131  9 10     2
2024 131  9 15     3
2024 131  9 20     5
2024 131  9 25     3
2024 131  9 30     1
2024 131  9 35     3
2024 131  9 40     5
2024 131  9 45     6
2024 131  9 50     5
2024 131  9 55     5
2024 131 10  0     2
2024 131 10  5     3
2024 131 10 10     1
2024 131 10 15     1
2024 131 10 20     2
2024 131 10 25     1
2024 131 10 30     0
2024 131 10 35     0
2024 131 10 40     1
2024 131 10 45     1
2024 131 10 50    -1
2024 131 10 55    -4
2024 131 11  0    -6
2024 131 11  5    -5
2024 131 11 10    -6
2024 131 11 15    -6
2024 131 11 20    -6
2024 131 11 25    -6
2024 131 11 30    -7
2024 131 11 35    -8
2024 131 11 40    -9
2024 131 11 45    -9
2024 131 11 50    -9
2024 131 11 55    -9
2024 131 12  0    -9
2024 131 12  5    -8
2024 131 12 10    -9
2024 131 12 15    -9
2024 131 12 20   -10
2024 131 12 25    -9
2024 131 12 30    -9
2024 131 12 35    -9
2024 131 12 40    -9
2024 131 12 45    -9
2024 131 12 50    -9
2024 131 12 55    -9
2024 131 13  0    -8
2024 131 13  5    -6
2024 131 13 10    -6
2024 131 13 15    -5
2024 131 13 20    -5
2024 131 13 25    -5
2024 131 13 30    -4
2024 131 13 35    -3
2024 131 13 40    -2
2024 131 13 45    -2
2024 131 13 50     1
2024 131 13 55     3
2024 131 14  0     3
2024 131 14  5     4
2024 131 14 10     4
2024 131 14 15     4
2024 131 14 20     4
2024 131 14 25     3
2024 131 14 30     3
2024 131 14 35     4
2024 131 14 40     3
2024 131 14 45     4
2024 131 14 50     8
2024 131 14 55    14
2024 131 15  0    17
2024 131 15  5    17
2024 131 15 10    15
2024 131 15 15    14
2024 131 15 20    14
2024 131 15 25    12
2024 131 15 30    12
2024 131 15 35    11
2024 131 15 40    12
2024 131 15 45    13
2024 131 15 50    13
2024 131 15 55    14
2024 131 16  0    14
2024 131 16  5    14
2024 131 16 10    13
2024 131 16 15    11
2024 131 16 20     9
2024 131 16 25     8
2024 131 16 30     8
2024 131 16 35    11
2024 131 16 40    14
2024 131 16 45    18
2024 131 16 50    13
2024 131 16 55    16
2024 131 17  0    12
2024 131 17  5    46
2024 131 17 10    79
2024 131 17 15    79
2024 131 17 20    67
2024 131 17 25    55
2024 131 17 30    40
2024 131 17 35    38
2024 131 17 40    41
2024 131 17 45    22
2024 131 17 50     6
2024 131 17 55    -9
2024 131 18  0    -2
2024 131 18  5   -18
2024 131 18 10   -39
2024 131 18 15   -72
2024 131 18 20   -76
2024 131 18 25   -46
2024 131 18 30   -50
2024 131 18 35   -81
2024 131 18 40   -84
2024 131 18 45   -82
2024 131 18 50   -82
2024 131 18 55  -104
2024 131 19  0  -148
2024 131 19  5  -166
2024 131 19 10  -158
2024 131 19 15  -170
2024 131 19 20  -178
2024 131 19 25  -171
2024 131 19 30  -176
2024 131 19 35  -169
2024 131 19 40  -140
2024 131 19 45  -120
2024 131 19 50  -108
2024 131 19 55  -103
2024 131 20  0  -149
2024 131 20  5  -158
2024 131 20 10  -144
2024 131 20 15  -126
2024 131 20 20  -132
2024 131 20 25  -123
2024 131 20 30  -125
2024 131 20 35  -141
2024 131 20 40  -149
2024 131 20 45  -147
2024 131 20 50  -143
2024 131 20 55  -159
2024 131 21  0  -182
2024 131 21  5  -188
2024 131 21 10  -204
2024 131 21 15  -216
2024 131 21 20  -204
2024 131 21 25  -197
2024 131 21 30  -217
2024 131 21 35  -211
2024 131 21 40  -242
2024 131 21 45  -292
2024 131 21 50  -280
2024 131 21 55  -276
2024 131 22  0  -280
2024 131 22  5  -232
2024 131 22 10  -270
2024 131 22 15  -295
2024 131 22 20  -307
2024 131 22 25  -290
2024 131 22 30  -271
2024 131 22 35  -257
2024 131 22 40  -315
2024 131 22 45  -320
2024 131 22 50  -324
2024 131 22 55  -328
2024 131 23  0  -292
2024 131 23  5  -283
2024 131 23 10  -335
2024 131 23 15  -328
2024 131 23 20  -318
2024 131 23 25  -294
2024 131 23 30  -303
2024 131 23 35  -308
2024 131 23 40  -306
2024 131 23 45  -340
2024 131 23 50  -341
2024 131 23 55  -330
2024 132  0  0  -315
2024 132  0  5  -309
2024 132  0 10  -300
2024 132  0 15  -296
2024 132  0 20  -286
2024 132  0 25  -271
2024 132  0 30  -265
2024 132  0 35  -287
2024 132  0 40  -300
2024 132  0 45  -298
2024 132  0 50  -311
2024 132  0 55  -324
2024 132  1  0  -336
2024 132  1  5  -345
2024 132  1 10  -360
2024 132  1 15  -357
2024 132  1 20  -360
2024 132  1 25  -388
2024 132  1 30  -383
2024 132  1 35  -397
2024 132  1 40  -413
2024 132  1 45  -417
2024 132  1 50  -419
2024 132  1 55  -431
2024 132  2  0  -432
2024 132  2  5  -431
2024 132  2 10  -489
2024 132  2 15  -497
2024 132  2 20  -485
2024 132  2 25  -468
2024 132  2 30  -439
2024 132  2 35  -428
2024 132  2 40  -422
2024 132  2 45  -386
2024 132  2 50  -369
2024 132  2 55  -386
2024 132  3  0  -392
2024 132  3  5  -390
2024 132  3 10  -375
2024 132  3 15  -383
2024 132  3 20  -426
2024 132  3 25  -416
